id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing
329228,"FRIED JUMBO FROG LEGS, TARTAR SAUCE, Shoe String Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329229,"FRIED SOFT SHELL CRABS, Shoe String Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,1.0,false,1.0,false
329230,"BROILED FLORIDA POMPANO, DRAWN BUTTER, Long Branch Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,1.25,false,1.25,false
329231,"SHAD ROE SAUTE, BREAKFAST BACON, Shoe String Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,1.0,false,1.0,false
329232,"VEGETABLE PLATE - Kale Greens, Poached Egg, New Potatoes, Green Asparagus, Buttered Beets, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.0,false,0.0,false
329233,"BROILED SIX OUNCE TENDERLOIN STEAK, ON TOAST, FRESH MUSHROOM SAUCE, Long Branch Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,1.25,false,1.25,false
329234,"TURKEY IN THE STRAW - Shoe String Potatoes, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.75,false,0.75,false
329235,"SLICED TONGUE AND CHICKEN SANDWICH, Potato Chips, Honey Dew Rings, Lime Sherbet, Drink, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.5,false,0.5,false
329236,"TOASTED CHEESE SANDWICH, Potato Chips, Slice Tomato, Pickles, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.5,false,0.5,false
329237,"SHRIMP AND PINEAPPLE TID-BITS IN CHOPPED CABBAGE, FRENCH DRESSING, With Bread and Butter, Coffee or Tea",coffee with food,1,1,1,1940,1940,0.6,false,0.6,false
329293,New York Coffee Cake,coffee cake,1,1,1,1940,1940,0.05,false,0.05,false
329296,"SIRLOIN STEAK Deluxe - French Fried or Shoestring Potatoes, Head Lettuce with French or 1000 Island Dressing, Coffee, Tea, Milk, Choice of Hot Breads",coffee with food,1,1,1,1940,1940,1.25,false,1.25,false
329299,"SPECIAL T-BONE STEAK Deluxe - French Fried or Shoestring Potatoes, Head Lettuce with French or 1000 Island Dressing, Coffee, Tea, Milk, Choice of Hot Breads",coffee with food,1,1,1,1940,1940,1.5,false,1.5,false
329304,"EXTRA THICK SIRLOIN STEAK Deluxe - French Fried or Shoestring Potatoes, Head Lettuce with French or 1000 Island Dressing, Coffee, Tea, Milk, Choice of Hot Breads",coffee with food,1,1,1,1940,1940,1.75,false,1.75,false
329314,"Gilt Edge Coffee with Pure Cream, Cup",coffee,1,1,1,1940,1940,0.05,false,0.05,false
